Protein.IDs	Majority.protein.IDs	Fasta.headers	Sample.1_Tr_1	Sample.1_Tr_2	Sample.1_Tr_3	Sample.2_Tr_1	Sample.2_Tr_2	Sample.2_Tr_3	Sample.3_Tr_1	Sample.3_Tr_2	Sample.3_Tr_3	Sample.4_Tr_1	Sample.4_Tr_2	Sample.4_Tr_3	Sample.5_Tr_1	Sample.5_Tr_2	Sample.5_Tr_3	Sample.6_Tr_1	Sample.6_Tr_2	Sample.6_Tr_3	Sample.7_Tr_1	Sample.7_Tr_2	Sample.7_Tr_3	Sample.8_Tr_1	Sample.8_Tr_2	Sample.8_Tr_3	Sample.9_Tr_1	Sample.9_Tr_2	Sample.9_Tr_3
REV__sp|P43634|CHA4_YEAST	REV__sp|P43634|CHA4_YEAST	sp|P43634|CHA4_YEAST Activatory protein CHA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHA4 PE=1 SV=1	NA	21.7250899474546	NA	21.2273503582494	21.2352032144032	NA	NA	NA	NA	NA	NA	22.1893033714528	21.521044447236	NA	NA	NA	NA	NA	21.7604438289185	NA	NA	21.7422995664749	NA	21.7082621516658	21.194242256306	NA	NA
REV__sp|P53241|VHT1_YEAST	REV__sp|P53241|VHT1_YEAST	sp|P53241|VHT1_YEAST Vitamin H transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VHT1 PE=1 SV=1	NA	NA	NA	NA	24.4800668463371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REV__sp|Q07381|TSR1_YEAST	REV__sp|Q07381|TSR1_YEAST	sp|Q07381|TSR1_YEAST Ribosome biogenesis protein TSR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TSR1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3351089870694	NA	23.5555524523102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REV__sp|Q07457|BRE1_YEAST	REV__sp|Q07457|BRE1_YEAST	sp|Q07457|BRE1_YEAST E3 ubiquitin-protein ligase BRE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BRE1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8003343409737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.8850666325211	NA	NA	NA	NA	NA	NA
REV__sp|Q08822|ETFD_YEAST	REV__sp|Q08822|ETFD_YEAST	sp|Q08822|ETFD_YEAST Probable electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIR2 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.7899872813656	NA
sp|A5Z2X5|YP010_YEAST	sp|A5Z2X5|YP010_YEAST	sp|A5Z2X5|YP010_YEAST UPF0495 protein YPR010C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR010C-A PE=3 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	23.9593418981813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.4562591494874	23.8033136697245	NA	NA	NA	NA	NA	NA
sp|O00762ups|UBE2C_HUMAN_UPS	sp|O00762ups|UBE2C_HUMAN_UPS	sp|O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	23.5027599502727	23.5902370711788	23.3891628611806	NA	NA	NA	25.0985249788611	23.733761786266	26.7080674016385	21.8385361066164	22.1103788028074	NA	NA	NA	NA	28.177691585921	26.4456592603302	25.6851196239248	NA	24.236006598404	23.5523895452657	NA	NA	NA	NA	NA	NA
sp|O13516|RS9A_YEAST	sp|O13516|RS9A_YEAST	sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3	20.3765536088465	NA	NA	20.5627194270493	NA	20.7397476530956	NA	NA	NA	NA	NA	20.5150876531757	NA	NA	20.220104319618	NA	NA	NA	NA	NA	NA	NA	NA	20.4167892824801	NA	NA	20.5837108414608
sp|O13547|CCW14_YEAST	sp|O13547|CCW14_YEAST	sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1	26.288856642172	26.0708743357081	25.4182829423549	25.9367439606561	26.3964328413603	26.0664055627733	23.4963125482384	25.3969880443846	23.4317332488163	26.1730846438676	25.987002859469	25.7411373592665	24.5223502108938	25.8477107754882	24.7209326672879	24.4580130339143	25.7585745789632	24.3711252217069	24.8289058168205	23.8287121664791	23.5206129260919	23.9175243239317	23.9707947157351	25.4488442625338	26.5873497075786	26.6082309041821	26.4119144852095
sp|P43538|YFG6_YEAST;sp|P38899|YH18_YEAST;sp|P0CX15|YRF17_YEAST;sp|P53819|YRF16_YEAST;sp|P0CX20|YRF11_YEAST;sp|P0CX21|YRF15_YEAST;sp|P0CX22|YRF18_YEAST;sp|P40434|YIR7_YEAST;sp|P40889|YJW5_YEAST;sp|P40105|YRF12_YEAST;sp|O13559|YRF14_YEAST;sp|Q03099|YMN3_YEAST;sp|Q07888|YL067_YEAST;sp|Q99208|YL066_YEAST;sp|Q3E7X8|YE077_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|P0CX14|YRF13_YEAST	sp|P43538|YFG6_YEAST;sp|P38899|YH18_YEAST;sp|P0CX15|YRF17_YEAST;sp|P53819|YRF16_YEAST;sp|P0CX20|YRF11_YEAST;sp|P0CX21|YRF15_YEAST;sp|P0CX22|YRF18_YEAST;sp|P40434|YIR7_YEAST;sp|P40889|YJW5_YEAST;sp|P40105|YRF12_YEAST;sp|O13559|YRF14_YEAST;sp|Q03099|YMN3_YEAST;sp|Q07888|YL067_YEAST;sp|Q99208|YL066_YEAST;sp|Q3E7X8|YE077_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|P0CX14|YRF13_YEAST	sp|P43538|YFG6_YEAST Y element ATP-dependent helicase YFL066C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YFL066C PE=2 SV=1;sp|P38899|YH18_YEAST Uncharacterized protein YHR218W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S2	23.4824692339717	23.5843992049129	23.4459433579466	23.62466517971	23.7174329437179	23.2644196913963	23.4446802734316	23.8737076905356	NA	23.6688226736485	23.5603421645258	23.5255198532726	NA	23.6191892014091	NA	23.6397558053449	23.6928538426858	23.6802444731181	23.6836748686494	NA	23.5618575394101	23.4070426160682	NA	NA	23.355146740306	23.3364716914693	NA
sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3;sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN	26.4837611722196	26.0021940333277	26.3638766130686	26.2082513291332	26.2571528660311	26.5092692933154	23.1021346261162	22.4779321432096	21.8815143084544	25.9692802364379	26.3799079227224	26.0309058586677	26.3380372119428	26.6135799601249	26.6710116670966	26.198617394365	25.1235259490325	25.2861617764934	26.1129892096043	NA	25.2549386383854	24.0020437693647	23.5439210680768	26.2734298182658	25.2477143116175	23.0812018943097	25.5250717417483
sp|O14467|MBF1_YEAST	sp|O14467|MBF1_YEAST	sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.1922867935955	NA	NA	21.7542987172687	NA	NA	NA	NA	NA	NA	NA	23.7878571365797	22.6800512708447	23.3310131339136
sp|O43137|YB085_YEAST	sp|O43137|YB085_YEAST	sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1	NA	20.6397999575397	NA	NA	NA	NA	NA	NA	22.7626959005292	NA	23.1525330466278	23.2062178794893	23.2901054928166	NA	NA	NA	NA	NA	NA	22.9768717372807	22.8976852126374	NA	NA	NA	NA	NA	NA
sp|P0C2I5|YL12B_YEAST;sp|P0C2I9|YP12B_YEAST;sp|P0CX58|YP12A_YEAST;sp|O74302|YD13A_YEAST;sp|P0CX70|YD15A_YEAST;sp|P0CX72|YL12A_YEAST;sp|P0CX73|YP11A_YEAST;sp|Q12414|YP11B_YEAST;sp|Q03612|YE11B_YEAST;sp|P0CX71|YE11A_YEAST;sp|Q07793|YD13B_YEAST;sp|P0C2I3|YD15B_YEAST;sp|P0CX57|YA11A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX76|YM12A_YEAST;sp|Q12085|YG11A_YEAST;sp|P0CX74|YJ11A_YEAST;sp|P0C2I8|YL14A_YEAST;sp|P0C2I6|YL13B_YEAST;sp|P0CX75|YL13A_YEAST;sp|Q03434|YM12B_YEAST;sp|P47100|YJ12B_YEAST;sp|P47098|YJ11B_YEAST;sp|Q12141|YG11B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|Q12269|YG12B_YEAST;sp|Q12273|YO11B_YEAST;sp|Q92393|YO12B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q03855|YD11B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q12088|YL11B_YEAST;sp|O13535|YH11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|P0CX59|YO12A_YEAST;sp|Q04711|YM11B_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0C2I2|YD14B_YEAST;sp|Q12485|YG12A_YEAST;sp|Q03856|YD11A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q92392|YO11A_YEAST;sp|Q12193|YB12B_YEAST;sp|Q99337|YN12B_YEAST;sp|P0CX69|YM14A_YEAST;sp|Q99231|YD12B_YEAST;sp|Q12441|YD12A_YEAST;sp|Q12112|YN11B_YEAST;sp|Q12391|YN11A_YEAST	sp|P0C2I5|YL12B_YEAST;sp|P0C2I9|YP12B_YEAST;sp|P0CX58|YP12A_YEAST;sp|O74302|YD13A_YEAST;sp|P0CX70|YD15A_YEAST;sp|P0CX72|YL12A_YEAST;sp|P0CX73|YP11A_YEAST;sp|Q12414|YP11B_YEAST;sp|Q03612|YE11B_YEAST;sp|P0CX71|YE11A_YEAST;sp|Q07793|YD13B_YEAST;sp|P0C2I3|YD15B_YEAST;sp|P0CX57|YA11A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX76|YM12A_YEAST;sp|Q12085|YG11A_YEAST;sp|P0CX74|YJ11A_YEAST;sp|P0C2I8|YL14A_YEAST;sp|P0C2I6|YL13B_YEAST;sp|P0CX75|YL13A_YEAST;sp|Q03434|YM12B_YEAST;sp|P47100|YJ12B_YEAST;sp|P47098|YJ11B_YEAST;sp|Q12141|YG11B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|Q12269|YG12B_YEAST;sp|Q12273|YO11B_YEAST;sp|Q92393|YO12B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q03855|YD11B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q12088|YL11B_YEAST;sp|O13535|YH11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|P0CX59|YO12A_YEAST;sp|Q04711|YM11B_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0C2I2|YD14B_YEAST;sp|Q12485|YG12A_YEAST;sp|Q03856|YD11A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q92392|YO11A_YEAST;sp|Q12193|YB12B_YEAST;sp|Q99337|YN12B_YEAST;sp|P0CX69|YM14A_YEAST;sp|Q99231|YD12B_YEAST;sp|Q12441|YD12A_YEAST	sp|P0C2I5|YL12B_YEAST Transposon Ty1-LR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-LR2 PE=3 SV=1;sp|P0C2I9|YP12B_YEAST Transposon Ty1-PR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 2045	26.5867772663288	26.4492851936301	25.6061422094925	25.5322546078084	25.5571605310939	25.8715943329468	26.5310797807033	27.2696363668668	26.6562188410571	26.0174818030924	26.5401560692873	25.9806983142825	25.8492867347422	26.2746743179347	26.4249437072607	26.9281832841395	27.000669201247	27.0388379629167	26.073042233854	25.7990697202466	25.8982066767439	26.5406142999997	26.3655962439878	26.106534187467	25.7857138659007	25.136648235074	26.6429258076655
sp|O74700|TIM9_YEAST	sp|O74700|TIM9_YEAST	sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1	22.5492902057266	NA	NA	22.6540564526454	NA	NA	22.6824108594297	22.7301997790156	23.0072894402324	NA	NA	22.464334352711	22.3299463046428	NA	22.4977261428437	NA	NA	22.5976206814201	NA	NA	NA	NA	22.526761888119	22.53257565988	NA	NA	NA
sp|O76070ups|SYUG_HUMAN_UPS	sp|O76070ups|SYUG_HUMAN_UPS	sp|O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	25.6700391911396	24.3738486045768	24.4586389048368	NA	NA	NA	25.9418113248519	26.0093456426125	24.5434491364269	22.0154286647077	NA	NA	NA	NA	NA	28.0494713584182	28.0883595430956	28.2295394616895	23.4524936304516	NA	18.7743945779341	NA	NA	NA	NA	NA	NA
sp|O94742|SEM1_YEAST	sp|O94742|SEM1_YEAST	sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1	21.2896271876297	NA	NA	NA	NA	20.8587823777172	NA	21.5337878788945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.4819767625415	21.2571276825506	21.3608899392656
sp|P00044|CYC1_YEAST	sp|P00044|CYC1_YEAST	sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2	25.0595732044374	22.6116003062364	21.9130924698339	25.0208972206576	24.409181142517	NA	21.2191590648481	NA	24.6210354753449	21.5066388167757	24.4776604515532	21.6416531306152	24.9212525726219	24.0270710869828	25.0487233312458	24.9986909622903	21.878972904171	25.7669621434656	24.5397272700448	24.5588835706892	24.5888084055168	24.7335549334388	25.0482244309068	25.0011848177789	23.7159678536042	25.9186392615232	26.143807155381
sp|P00045|CYC7_YEAST	sp|P00045|CYC7_YEAST	sp|P00045|CYC7_YEAST Cytochrome c iso-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC7 PE=1 SV=1	20.4923813303165	NA	20.3080812306127	21.1145786060864	21.5446286762203	NA	NA	NA	NA	NA	NA	NA	21.1947231947356	21.1089761470977	NA	NA	20.9806416659785	21.377242309329	NA	NA	NA	21.3594964969394	19.076893866143	NA	NA	20.2157273151936	21.9446377193437
sp|P00127|QCR6_YEAST	sp|P00127|QCR6_YEAST	sp|P00127|QCR6_YEAST Cytochrome b-c1 complex subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR6 PE=1 SV=2	20.1731647246337	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.1427677090174	NA	NA	NA	21.4389826683396	21.3796237370414	NA	NA	NA	NA	20.9907161503631	NA	NA	NA	NA	19.1571890135149	21.1113343776823
sp|P00128|QCR7_YEAST	sp|P00128|QCR7_YEAST	sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2	20.9837061926593	20.6804591119701	20.8028602616993	21.3599789946815	21.2759426026099	21.3794650974326	20.8469747382743	22.6918746908433	NA	22.6105418771783	23.0123967539202	21.1986248875029	23.1377116390155	21.0803074820617	21.3726270393174	NA	21.5251613751888	22.0189635174457	22.4886845270655	NA	22.2444370068495	23.23908452793	NA	21.5335977942352	NA	21.8682347730956	21.9384051467208
sp|P00167ups|CYB5_HUMAN_UPS	sp|P00167ups|CYB5_HUMAN_UPS	sp|P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	24.9811122151525	24.828857406672	24.7218714465393	NA	NA	NA	25.8113478406144	26.4812685402138	25.5802928458972	NA	NA	NA	NA	NA	NA	27.7152216557142	27.3168270250185	27.791476016732	23.1506131482443	NA	23.1929790295962	NA	NA	NA	NA	NA	NA
sp|P00175|CYB2_YEAST	sp|P00175|CYB2_YEAST	sp|P00175|CYB2_YEAST Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYB2 PE=1 SV=1	NA	NA	NA	22.4152424880348	NA	NA	22.3112449759348	NA	NA	22.4399211550858	NA	NA	NA	NA	23.3825818122681	23.6680652113932	NA	NA	NA	NA	NA	22.2747773854777	23.1861323795376	NA	22.6337384836041	21.4720422707181	23.1644441795893
sp|P00330|ADH1_YEAST;sp|P38113|ADH5_YEAST	sp|P00330|ADH1_YEAST	sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	30.1063694458175	30.2095533166239	29.4827769432703	30.9189747118378	30.7674610716504	26.6924548121091	30.7416581541502	30.7085772488986	30.5245861304771	30.3972369998782	30.6836982905715	28.1440892728136	30.7059438421262	29.5679394272175	30.7606570133291	31.1521282806344	29.9300179662681	30.9913861889734	30.7853459499627	30.7620045486978	30.7436656337284	30.4352949447357	30.9338913535378	30.6492449923906	29.927194411123	29.7744374354094	31.0174393246588
sp|P00331|ADH2_YEAST	sp|P00331|ADH2_YEAST	sp|P00331|ADH2_YEAST Alcohol dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH2 PE=1 SV=3	NA	NA	NA	23.1710735411219	22.3198958931229	NA	23.2365614025029	NA	25.5126184702692	NA	21.8769889946393	NA	25.0899055964913	22.1818025501509	25.2420177605391	25.4658481038616	NA	22.0591028048008	21.9905776693646	25.2884518529882	25.1930993845676	25.1398907306074	25.255875149318	20.0229637553359	NA	22.0789729642349	23.4006730911925
sp|P00358|G3P2_YEAST	sp|P00358|G3P2_YEAST	sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3	24.1393052766891	26.262987167159	26.1563227576874	25.7344080102593	24.470851477894	25.8765206935864	23.1897708804469	22.6877378974635	NA	26.0885111902331	26.7834425139948	24.1428144417845	26.4122376152945	23.4101521530584	27.7060262088895	26.746118992786	26.4373483716968	26.5643166338084	25.8925435577751	27.1411194110547	27.6151948519319	27.836413897885	25.9061437683252	25.6005102677598	NA	25.7221842372555	24.817289343219
sp|P00359|G3P3_YEAST	sp|P00359|G3P3_YEAST	sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3	32.3165411414898	32.0763542530855	31.9906425839877	32.6196877184008	32.3084807672628	31.4291709561077	32.7569249108035	32.6039939112957	32.1573182709013	32.0759400288978	32.5326196874924	32.1146145955731	32.7069525110885	32.0540406985984	32.6109826904136	32.4844297572509	32.3466500954898	32.322355537434	32.0397009361309	31.8325485550078	32.1759026701102	32.1714952176978	32.7803479757849	32.0240284210221	32.4522609049969	32.0631040380005	32.012719090596
sp|P00360|G3P1_YEAST	sp|P00360|G3P1_YEAST	sp|P00360|G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3	26.6627518108964	24.1154520283564	23.9166135315776	27.4620919560392	24.6597612048222	24.8089692795547	26.0520656677684	24.922977036089	27.4477413448493	25.6680381518132	25.6936249889904	24.2612662583575	27.2802967235553	24.2540015191314	27.5151779090511	27.4268639937725	24.5099035180058	27.0260157910241	26.456870119093	27.2468993063943	27.4606086254193	27.3963185083275	27.4230208613615	26.3511411682722	26.7942679103008	26.6158262743831	27.2533163160594
