Protein.IDs	Majority.protein.IDs	Fasta.headers	50000amol-25000amol_PValue	25000amol-12500amol_PValue	12500amol-5000amol_PValue	5000amol-2500amol_PValue	2500amol-500amol_PValue	500amol-250amol_PValue	250amol-125amol_PValue	125amol-50amol_PValue	50000amol-5000amol_PValue	50000amol-25000amol_AdjPVal	25000amol-12500amol_AdjPVal	12500amol-5000amol_AdjPVal	5000amol-2500amol_AdjPVal	2500amol-500amol_AdjPVal	500amol-250amol_AdjPVal	250amol-125amol_AdjPVal	125amol-50amol_AdjPVal	50000amol-5000amol_AdjPVal	50000amol-25000amol_log2FoldChange	25000amol-12500amol_log2FoldChange	12500amol-5000amol_log2FoldChange	5000amol-2500amol_log2FoldChange	2500amol-500amol_log2FoldChange	500amol-250amol_log2FoldChange	250amol-125amol_log2FoldChange	125amol-50amol_log2FoldChange	50000amol-5000amol_log2FoldChange	featureAvg	Sample1_Tr_1	Sample1_Tr_2	Sample1_Tr_3	Sample2_Tr_1	Sample2_Tr_2	Sample2_Tr_3	Sample3_Tr_1	Sample3_Tr_2	Sample3_Tr_3	Sample4_Tr_1	Sample4_Tr_2	Sample4_Tr_3	Sample5_Tr_1	Sample5_Tr_2	Sample5_Tr_3	Sample6_Tr_1	Sample6_Tr_2	Sample6_Tr_3	Sample7_Tr_1	Sample7_Tr_2	Sample7_Tr_3	Sample8_Tr_1	Sample8_Tr_2	Sample8_Tr_3	Sample9_Tr_1	Sample9_Tr_2	Sample9_Tr_3
REV__sp|P12954|SRS2_YEAST	REV__sp|P12954|SRS2_YEAST	sp|P12954|SRS2_YEAST ATP-dependent DNA helicase SRS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRS2 PE=1 SV=2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.7530747112217	21.613242711117	NA	NA	NA	NA	NA	22.5941614706038	NA	NA	NA	22.2057109330358	NA	NA	NA	NA	22.0785495665474	NA	NA	NA	21.7514002217507	NA	NA	NA	NA
REV__sp|P16861|PFKA1_YEAST	REV__sp|P16861|PFKA1_YEAST	sp|P16861|PFKA1_YEAST ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PFK1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8115487351966	NA	NA	NA	22.0053545339181	NA	NA	20.0243172548637	23.3763681332999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REV__sp|P31379|LDS1_YEAST	REV__sp|P31379|LDS1_YEAST	sp|P31379|LDS1_YEAST Outer spore wall protein LDS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LDS1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.6035865045887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.7849055746642	NA	NA
REV__sp|P32600|TOR2_YEAST;REV__sp|P35169|TOR1_YEAST	REV__sp|P32600|TOR2_YEAST	sp|P32600|TOR2_YEAST Serine/threonine-protein kinase TOR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOR2 PE=1 SV=3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4355787061407	NA	NA	NA	23.3730520489068	NA	NA	NA	22.6411238954512	NA	NA	NA	NA	NA	NA	NA	NA	22.5424103430686	NA	NA	NA	NA	20.8629490635892	21.18688801003	NA
REV__sp|P40457|MLP2_YEAST	REV__sp|P40457|MLP2_YEAST	sp|P40457|MLP2_YEAST Protein MLP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MLP2 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.3276732437146	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.9209619337469	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.0457356688712	23.9806765267365	23.7594891886066	NA
REV__sp|P42838|LEM3_YEAST	REV__sp|P42838|LEM3_YEAST	sp|P42838|LEM3_YEAST Alkylphosphocholine resistance protein LEM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LEM3 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.1623864111853	24.1197320849077	23.9828536542449	NA	NA	24.6447694724832	NA	NA	NA	24.2154903416318	NA	23.7800663247093	NA	NA	NA	NA	NA	24.1086890721707	NA	23.9796303373934	24.029684894791	NA	23.5471025751533	NA	NA
REV__sp|P43634|CHA4_YEAST	REV__sp|P43634|CHA4_YEAST	sp|P43634|CHA4_YEAST Activatory protein CHA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHA4 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.0445355342823	21.7250899474546	21.5965974369612	21.2273503582494	21.2352032144032	NA	NA	NA	NA	NA	NA	22.1893033714528	21.521044447236	NA	21.3399543607306	NA	NA	NA	21.7604438289185	NA	NA	21.7422995664749	NA	21.7082621516658	21.194242256306	21.0525176379542	NA
REV__sp|Q07381|TSR1_YEAST	REV__sp|Q07381|TSR1_YEAST	sp|Q07381|TSR1_YEAST Ribosome biogenesis protein TSR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TSR1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3351089870694	NA	23.5555524523102	NA	NA	NA	NA	NA	NA	NA	NA	23.3154801803205	23.7163866026212	NA	NA	NA	NA	NA
REV__sp|Q07457|BRE1_YEAST	REV__sp|Q07457|BRE1_YEAST	sp|Q07457|BRE1_YEAST E3 ubiquitin-protein ligase BRE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BRE1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8003343409737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REV__sp|Q12019|MDN1_YEAST	REV__sp|Q12019|MDN1_YEAST	sp|Q12019|MDN1_YEAST Midasin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDN1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9594303446787	NA	NA	23.9285899380318	NA	NA
REV__sp|Q99210|NTPPA_YEAST	REV__sp|Q99210|NTPPA_YEAST	sp|Q99210|NTPPA_YEAST dTTP/UTP pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOR111W PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.030674375942	NA	NA	NA	NA	25.9356878889196	NA	NA	26.1240981143269	NA	NA	NA	22.8080364020305	NA	NA	NA	23.5779616705431	NA	NA	26.1289622090662	26.4142394080566	NA	NA	21.5304101474575	NA	NA
sp|A5Z2X5|YP010_YEAST	sp|A5Z2X5|YP010_YEAST	sp|A5Z2X5|YP010_YEAST UPF0495 protein YPR010C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR010C-A PE=3 SV=1	0.0770837148994906	0.0429549353815459	0.844992011910092	0.893247587583454	0.879422379629721	0.215899199400235	0.712287189650396	0.504515657077805	0.736167572331378	0.363130446781589	0.56611760516094	0.993362783940045	0.997935466225821	0.961746353327095	0.908215936237943	0.910432122636592	0.696091184914507	0.894746576528855	-0.236907461379197	0.307939532999178	-0.0279306158460066	-0.0191651812695	-0.0216668722449072	-0.161779393201133	-0.0527626521034072	0.0959369321112078	0.0431014557739751	23.7555742983063	23.6561097071987	NA	23.5765784537153	23.7696126954529	24.029684894791	NA	23.7513389230725	24.0621700191147	23.9593418981813	23.5419142915233	23.7849654636217	NA	23.7317954859166	23.9550013639765	23.8538615791625	23.7536868440535	23.5002087647434	23.808232847434	23.6732512696971	23.4562591494874	23.8033136697245	23.814113805537	23.6482302942313	23.5929761496839	23.8221125409253	23.6829251662988	23.9060978818081
sp|O00762ups|UBE2C_HUMAN_UPS	sp|O00762ups|UBE2C_HUMAN_UPS	sp|O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.1075721263331	25.7484754174082	25.668849718518	NA	NA	NA	27.3791477658731	27.2562891814749	27.6196789739731	23.4830845869522	22.1103788028074	NA	NA	NA	NA	28.763920636372	28.6744505903246	28.7702052479221	24.4946656707272	24.587721672626	24.3061907755154	NA	NA	NA	NA	NA	NA
sp|O13516|RS9A_YEAST	sp|O13516|RS9A_YEAST	sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5627194270493	20.8332174802405	20.7397476530956	NA	NA	NA	NA	NA	20.5150876531757	NA	NA	NA	20.6537722617569	NA	NA	NA	NA	NA	NA	NA	20.4167892824801	NA	NA	20.5837108414608
sp|O13547|CCW14_YEAST	sp|O13547|CCW14_YEAST	sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1	0.00190679513452377	0.0930162225066192	0.553920688679006	0.982427778678352	0.0192102023467503	0.0802422845145	0.0643943256948805	0.0815208965422553	0.240775863868389	0.0524013167109876	0.606768728253314	0.993362783940045	0.997935466225821	0.229860007390426	0.840167066274808	0.460718165280898	0.232699856588842	0.500390983666696	0.404490162081672	-0.19959773712527	-0.0681083468249355	0.00252303063763648	-0.288248627514168	0.208520343664638	-0.221510530755673	-0.207573606023232	0.136784078131466	26.205560207417	26.2104825888241	26.0708743357081	25.8088711103222	26.4356963275589	26.3964328413603	26.3585712583127	25.6783381526825	25.8359322369037	25.9771644338924	26.1730846438676	25.987002859469	26.1268964800797	26.1591171292446	26.1315745601444	26.2354771455759	26.2211079746702	26.1014134188155	26.3823839162379	26.1302395129936	26.1575760763666	26.006737485969	26.4112033441647	26.4331191766814	26.3074073451127	26.79327585591	26.6082309041821	26.4119144852095
sp|P43538|YFG6_YEAST;sp|P38899|YH18_YEAST;sp|P0CX15|YRF17_YEAST;sp|P53819|YRF16_YEAST;sp|P0CX20|YRF11_YEAST;sp|P0CX21|YRF15_YEAST;sp|P0CX22|YRF18_YEAST;sp|P40434|YIR7_YEAST;sp|P40889|YJW5_YEAST;sp|P40105|YRF12_YEAST;sp|O13559|YRF14_YEAST;sp|Q03099|YMN3_YEAST;sp|Q07888|YL067_YEAST;sp|Q99208|YL066_YEAST;sp|Q3E7X8|YE077_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|P0CX14|YRF13_YEAST	sp|P43538|YFG6_YEAST;sp|P38899|YH18_YEAST;sp|P0CX15|YRF17_YEAST;sp|P53819|YRF16_YEAST;sp|P0CX20|YRF11_YEAST;sp|P0CX21|YRF15_YEAST;sp|P0CX22|YRF18_YEAST;sp|P40434|YIR7_YEAST;sp|P40889|YJW5_YEAST;sp|P40105|YRF12_YEAST;sp|O13559|YRF14_YEAST;sp|Q03099|YMN3_YEAST;sp|Q07888|YL067_YEAST;sp|Q99208|YL066_YEAST;sp|Q3E7X8|YE077_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|P0CX14|YRF13_YEAST	sp|P43538|YFG6_YEAST Y element ATP-dependent helicase YFL066C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YFL066C PE=2 SV=1;sp|P38899|YH18_YEAST Uncharacterized protein YHR218W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S2	0.952728662421084	0.188889485054082	0.660769914669173	0.810977047530868	0.388337374157902	0.526853063111949	0.856415797463172	0.163830764959013	0.340770036724524	0.979546209955899	0.704954274880228	0.993362783940045	0.997935466225821	0.744951025713705	0.916636632358522	0.960547111900936	0.353101089694271	0.606395911504666	0.00703568086416695	0.159645093908367	-0.0522183813159636	-0.0284059168892696	0.103416945931805	-0.0755110910482379	0.0214831039906684	0.189696722387094	0.11446239345657	23.5521193021465	23.4824692339717	23.5843992049129	23.4459433579466	23.62466517971	23.7174329437179	23.2644196913963	23.4446802734316	23.8737076905356	23.6733591145891	23.6688226736485	23.5603421645258	23.5255198532726	23.4473314748654	23.6191892014091	23.6044464505217	23.6397558053449	23.6928538426858	23.6802444731181	23.6836748686494	23.4239345327196	23.5618575394101	23.4070426160682	23.4613895158529	23.5760017217304	23.355146740306	23.3364716914693	NA
sp|O13563|RPN13_YEAST	sp|O13563|RPN13_YEAST	sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4425811085921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.058045909506	NA	21.7257972630954
sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3;sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN	0.00145383848170032	0.730753624078484	0.642520424957504	0.340440101805803	0.00638549401290591	0.864467081586938	0.103388757242094	0.000188737894090312	0.00945727494889555	0.0504481953150011	0.959033453788264	0.993362783940045	0.997935466225821	0.123098134582131	0.981898780067652	0.527363712748397	0.00545767077077819	0.0645742273184656	0.714708145052434	-0.0675485770433966	-0.0912281021569719	0.189041968908636	-0.589882165792336	-0.0334667346781394	0.330391980100835	0.884446121504507	0.555931465852066	26.4655910861877	26.0352760098046	26.4577156500839	26.5382920837206	26.3767986649653	26.4420558397929	26.7978583997048	26.1335748172908	26.444111524421	26.2509516707671	26.1399687731824	26.5029268349228	26.0949465352489	27.1212943100911	26.7002822263547	26.7863123083197	27.135259156402	27.1303573609794	26.7071459302548	26.232570825357	26.2113926952213	26.8610045295017	26.8891349852498	26.8330388891484	26.7853147663329	25.9478197243369	25.5205230096053	25.4950318060073
sp|O14467|MBF1_YEAST	sp|O14467|MBF1_YEAST	sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.6341817896059	21.7542987172687	NA	NA	NA	NA	22.4836750789873	NA	NA	23.7878571365797	24.3034061866546	23.9604028984431
sp|O43137|YB085_YEAST	sp|O43137|YB085_YEAST	sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.0755822984123	23.1958797962161	NA	NA	23.183423973132	23.1288363825794	NA	23.4987489163609	23.0738349526438	22.9232309933719	23.1525330466278	24.1435930984533	23.2901054928166	23.2800842865596	NA	21.6109473247405	NA	NA	23.0185730699389	22.9768717372807	23.1330926560427	23.1177997057709	23.0965961344436	NA	NA	NA	NA
